APOGEE_ID,GC_NAME,dPOS,SNREV,TEFF,LOGG_SPEC,STARFLAG,ASPCAPFLAG,VB_PROB,FE_H,FE_H_ERR,FE_H_FLAG,MG_FE,MG_FE_ERR,MG_FE_FLAG,SI_FE,SI_FE_ERR,SI_FE_FLAG,CA_FE,CA_FE_ERR,CA_FE_FLAG,C_FE,C_FE_ERR,C_FE_FLAG,AL_FE,AL_FE_ERR,AL_FE_FLAG,K_FE,K_FE_ERR,K_FE_FLAG,MN_FE,MN_FE_ERR,MN_FE_FLAG,DENSITY
b'2M05140458-4003357',NGC1851,0.02463045628468134,207.20433,4460.2407,0.95552,0,4,1.0,-1.0758,0.01027619,0,0.17016298,0.018202843,0,0.09490758,0.019102156,0,0.15829498,0.024057692,0,-0.48823,0.022019831,0,0.15739095,0.02304709,0,0.29566896,0.05470585,0,-0.23789811,0.025655208,0,0.21544004604666478
b'2M09121709-6452338',NGC2808,0.029443448599082815,170.81155,4735.482,1.5628,0,4,0.9999899999999999,-0.94742,0.010512597,0,-0.353647,0.019062636,0,0.1479606,0.021045353,0,0.19222504,0.025983261,0,-0.49716997,0.026533565,0,1.0721209,0.025874438,0,0.46224904,0.05808439,0,-0.18937802,0.027146049,0,0.2154931903469079
b'2M18550076-3034068',NGC6715,0.14443389576048365,72.11987,4455.6396,0.85013,0,704,0.99977,-1.5995,0.021223027,0,0.21804297,0.041455362,0,0.13853061,0.044306856,0,0.30814493,0.06885527,0,-0.71892,0.064301625,0,-0.544919,0.053821426,0,0.66645896,0.118150525,0,-0.013498068,0.06839104,0,0.21572372011366694
b'2M13255760-4731282',NGC5139,0.06858382207736918,119.91531,4920.0117,1.9022,0,0,0.99997,-1.5515,0.014667211,0,-0.011757016,0.03191674,0,0.36498058,0.034433793,0,0.09438968,0.050515972,0,0.2128799,0.061328147,0,1.1240209,0.03796784,0,0.33875895,0.09331651,0,-0.3937981,0.05035,0,0.21576076343585548
b'2M00525215-2629455',NGC0288,0.1494286401109713,121.727455,5032.2207,1.597,0,0,1.0,-1.353,0.013765463,0,0.25612307,0.030268604,0,0.33442068,0.033212673,0,0.21951509,0.047566473,0,-0.18297994,0.06122291,0,-0.004918933,0.03650212,0,0.21665907,0.08929435,0,-0.5570979,0.047281094,0,0.21590042348046593
b'2M15171587+0159323',NGC5904,0.550495026930813,121.93078,4865.011,1.3974,0,0,0.99998,-1.272,0.01401602,0,0.093083024,0.028593257,0,0.20700061,0.031428475,0,0.12465501,0.043843526,0,-0.26400006,0.05009525,0,0.13468099,0.036428716,0,-0.692441,0.08467555,0,-0.38699806,0.04412826,0,0.21598399415145852
b'2M18362785-2352302',NGC6656,0.025387946696280774,126.80153,4891.1064,1.8445,0,0,0.99979,-1.6997,0.015234137,0,0.31916296,0.03493462,0,0.33513057,0.03640155,0,0.513615,0.05639451,0,0.37348998,0.06960813,0,0.20568097,0.038159367,0,0.15315902,0.10046933,0,-0.22269797,0.05608684,0,0.21680478429412442
b'2M16224070-2631178',NGC6121,0.10805290391662792,351.4235,4751.29,2.004,0,0,0.99997,-1.0951,0.009679385,0,0.31381297,0.018700127,0,0.33745062,0.019807512,0,0.306365,0.025259087,0,-0.11299002,0.02695527,0,0.19528103,0.022606483,0,0.27376908,0.05649744,0,-0.23069799,0.026637346,0,0.21690784248273925
b'2M13261982-4733255',NGC5139,0.05112686392286204,123.606316,4681.074,1.7943,0,0,0.9999600000000001,-1.4018,0.015126118,0,0.48019302,0.03022514,0,0.51931065,0.032329366,0,0.466385,0.046457537,0,0.37238002,0.048341107,0,0.0057810545,0.037645523,0,0.0925591,0.08836127,0,-0.6880981,0.047098782,0,0.21741841141101956
b'2M17363457-4446196',NGC6388,0.12226241072864918,209.00087,4042.0005,1.5535,0,129,0.984,-0.39437,0.00911038,0,-0.036127,0.012029964,0,0.05928859,0.013465187,0,0.073410004,0.014135898,0,-0.17270002,0.010572785,0,0.53982097,0.020565307,0,0.23006898,0.03703147,0,0.0042519867,0.015083716,0,0.21777633657738618
b'2M19105638-5948053',NGC6752,0.20076216343504344,120.122795,4984.4277,2.1931,0,0,0.9999100000000001,-1.4918,0.014522998,0,0.23219287,0.032488614,0,0.21952057,0.03504039,0,0.39504492,0.051849265,0,0.01442492,0.065877244,0,0.24948096,0.03789104,0,-0.50524116,0.09487179,0,-0.41909814,0.05143541,0,0.2183781692364817
b'2M13262982-4730499',NGC5139,0.027998472804451717,402.59665,4294.219,0.23647,0,646,0.9999600000000001,-1.7594,0.01306007,0,0.26219296,0.026826382,0,0.3210305,0.02559896,0,0.023955941,0.038658805,0,-0.2577399,0.035706785,0,-0.118919015,0.026881255,0,0.48645902,0.07646105,0,-0.31429803,0.04096774,0,0.21844374163450403
b'2M13261177-4731166',NGC5139,0.0505750082038607,111.95877,4593.95,1.6011,0,0,0.99992,-1.2377,0.015481,0,0.411313,0.028752133,0,0.47066057,0.031538647,0,0.423665,0.043486767,0,0.25351,0.042034425,0,0.14343095,0.03923014,0,0.312419,0.084790304,0,-0.514498,0.044219825,0,0.21850513313634695
b'2M01035207-7052547',NGC0362,0.1025169406230154,101.995544,4791.852,1.865,0,64,0.99998,-1.0825,0.014822459,0,0.16140294,0.027961206,0,0.19897056,0.031752586,0,0.26455492,0.042573605,0,-0.3230101,0.044974577,0,-0.1898191,0.039728694,0,0.06795895,0.083558984,0,-0.42309797,0.042822085,0,0.21918961132615733
b'2M13260810-4731226',NGC5139,0.055330773167654786,121.60825,5006.008,2.015,0,0,0.99997,-1.7297,0.014991998,0,0.17009819,0.03525589,0,0.23878062,0.037251215,0,0.45393503,0.057493877,0,0.08877003,0.0759033,0,0.683491,0.038644116,0,0.46675897,0.10172663,0,-0.042398095,0.056684837,0,0.21929339925255528
b'2M13270134-4720306',NGC5139,0.06685872191581925,100.3077,4905.251,1.8033,0,0,0.9999899999999999,-1.7967,0.017633213,0,0.36788297,0.04146813,0,0.27340055,0.043414187,0,0.4128549,0.07040301,0,0.30636,0.08834827,0,0.12848091,0.045416478,0,0.858559,0.11787453,0,-0.036898017,0.06871732,0,0.22006896310392846
b'2M13270041-4739163',NGC5139,0.08353079456977552,81.043625,5062.0874,2.0588,0,640,0.9996200000000001,-1.6422,0.018020619,0,0.30607307,0.043489907,0,0.3218006,0.047025643,0,0.047355056,0.07532143,0,0.64715004,0.10252414,0,-0.33031905,0.049219538,0,0.507859,0.12358415,0,-0.16779804,0.072112076,0,0.22025647627814957
